V1,V2
p630400490,p48124091
p627270088,p392115290
p627276488,p392150190
p630071089,p630384190
p630067789,p630384190
p630384190,p48109691
p630384190,p48109791
p83306289,p83456290
p83456290,p48109691
p83456290,p48109791
p277114088,p277155690
p197132888,p277155690
p277155690,p277195691
p277155690,p277195791
p277111088,p277162190
p277162190,p277195691
p277162190,p277195791
p230416387,p216077190
p216077190,p216124491
p216077190,p216124591
p630396290,p216124491
p630396290,p216124591
p630396290,p630182291
p630031389,p630299990
p630299990,p630182291
p82019685,p82071386
p803043885,p82071386
p751512889,p392157391
p630439091,p48147992
p630439091,p48148092
p630388390,p48147992
p630388390,p48148092
p630388390,p83567891
p83314589,p83470790
p83470790,p83567891
p630014189,p630323790
p630323790,p630155091
p543472088,p543654190
p543654190,p543072191
p543654190,p543072291
p547629489,p547097990
p547097990,p543072191
p547097990,p543072291
p197119188,p197140688
p197140688,p547097990
p753023491,p609183992
p547633289,p547054590
p547620489,p547054590
p547054590,p543036891
p547054590,p543036991
p543378087,p543517389
p197125588,p543517389
p543517389,p543657690
p543657690,p543036891
p543657690,p543036991
p543657690,p543084792
p630430091,p48127091
p50261091,p48127091
p630398790,p48111891
p630390690,p48172392
p630390690,p48172492
p50241090,p48111891
p50241090,p48172392
p50241090,p48172492
p82154988,p82236090
p750365488,p392120790
p630328890,p630152091
p630772188,p630282090
p630282090,p48112891
p50052788,p50168489
p630672087,p50168489
p50168489,p48128191
p630426691,p48139191
p630426691,p48139291
p83371889,p83474091
p83324189,p83474091
p83474091,p83572791
p83474091,p83572891
p522398991,p392203792
p543419788,p522334189
p522334189,p522398991
p522204687,p522279888
p522279888,p522334189
p522279888,p522369890
p522369890,p522449292
p197143789,p197192390
p197192390,p197240391
p197192390,p197240491
p197162589,p197201290
p82191389,p197201290
p197201290,p197258291
p197201290,p197258391
p197201290,p197258591
p197201290,p197303091
p197201290,p197303191
p197201290,p197303291
p197210690,p197318792
p197165689,p197210690
p197075886,p197126088
p751230786,p197126088
p197126088,p197149689
p197126088,p197165689
p197126088,p197206590
p197126088,p197229090
p197229090,p197288691
p197229090,p197318792
p197229090,p197288791
p197180690,p197276591
p197131388,p197180690
p197131388,p197206490
p197131388,p197180790
p197206490,p197256791
p197256791,p197353592
p50139889,p50195390
p50195390,p48004891
p630154689,p630147391
p630154689,p630147591
p197130688,p630154689
p197130688,p630154989
p630154989,p630172991
p630154989,p630173091
p630810388,p630154689
p630810388,p630154989
p630810388,p630067989
p630810388,p630068489
p630067989,p48004891
p630067989,p197263491
p197263491,p197353592
p197130288,p197153289
p197153289,p197263491
p197153289,p197235390
p197235390,p197288691
p197235390,p197288791
p751038090,p88127791
p751513589,p88067190
p88067190,p88127791
p392012788,p88067190
p392012788,p88014589
p197168789,p197211690
p88014589,p197210690
p88014589,p197235390
p88014589,p197211690
p197211690,p197314191
p50095388,p50212890
p630810288,p630311090
p50212890,p48022391
p50212890,p48022291
p630311090,p48022391
p630311090,p48022291
p48022291,p230057992
p230433487,p230565789
p603176686,p230565789
p230565789,p230757791
p230757791,p230057992
p82065086,p392087690
p82258290,p82345291
p82206789,p82258290
p82206789,p82258390
p82210989,p82258290
p82210989,p82258390
p82258390,p82349391
p82258390,p82349491
p630088089,p630384990
p630384990,p48110491
p630384990,p48110591
p630813788,p630062489
p630062489,p630040991
p630052589,p630239990
p630239990,p630154291
p630475686,p630058889
p630058889,p630040991
p630058889,p630239990
p630643987,p630073589
p630652587,p630058889
p630652587,p630073589
p630073589,p630384990
p630073589,p630266190
p50241490,p48072391
p630373290,p48072391
p630815588,p630068889
p630810088,p630068889
p630068889,p630266190
p630068889,p630373290
p630068889,p630373890
p630373890,p48197592
p83290288,p83403790
p630062389,p630249690
p630064189,p630249690
p83403790,p83500691
p630249690,p83500691
p83500691,p48197592
p83500691,p48213092
p83500691,p48213192
p48000691,p48213092
p48000691,p48213192
p82197489,p82243490
p82197489,p82243390
p82198489,p82243490
p82198489,p82243390
p82243390,p82292291
p82241490,p82292291
p82050786,p82121587
p522082985,p82121587
p82218889,p82347891
p82206489,p82347891
p82206489,p82307191
p826030789,p82338291
p826030789,p82338391
p826030789,p82307191
p82307191,p82422492
p48064091,p82422492
p82142888,p82247790
p82152588,p82247790
p82152588,p82238890
p82238890,p82334391
p751015990,p48064091
p751015990,p48064191
p751015990,p82334391
p751015990,p48064391
p50197190,p48064091
p50197190,p48064191
p50197190,p48064391
p630258690,p48013791
p50197390,p48013791
p50197590,p48000191
p50197590,p48000291
p50197590,p48000691
p50133689,p50197190
p50133689,p50197390
p50133689,p50197590
p50133689,p50197290
p50140189,p50197190
p50140189,p50197390
p50140189,p50197590
p50140189,p50197290
p50197290,p48007991
p82228290,p48007991
p82105287,p82228290
p82105287,p82228490
p82228490,p82277591
p82277591,p82349391
p82277591,p82345291
p82277591,p82349491
p82182889,p82218289
p82218289,p82277591
p751106191,p543151292
p751106191,p543151392
p543709391,p543151292
p543709391,p543151392
p543420288,p543583789
p543583789,p543709391
p82183689,p82266890
p547497788,p82218289
p547497788,p543583789
p547497788,p82266890
p82266890,p82332291
p82261490,p82332291
p82141488,p82211489
p197130888,p82211489
p82211489,p82261490
p82211489,p82303591
p82211489,p82303691
p82211489,p82261890
p82206389,p82261490
p82206389,p82303591
p82206389,p82303691
p82206389,p82261890
p82261890,p82366892
p82185289,p82229690
p82191289,p82229690
p82229690,p82366892
p82229690,p82280791
p82224990,p82280791
p441231890,p441324091
p441231890,p441324191
p441119488,p441231890
p441119488,p441231590
p441231590,p441290591
p441231590,p441290691
p441118988,p441214590
p441214590,p441290591
p441214590,p441290691
p609091487,p609134289
p82133387,p82206489
p82133387,p82206389
p82133387,p82224990
p82133387,p82225190
p82133387,p441214590
p82133387,p609134289
p82133387,p82225690
p82225690,p82338291
p82225690,p82338391
p958249187,p95141490
p95141490,p95247691
p95090289,p95147490
p95147490,p95247691
p627343790,p627396491
p627275788,p627343790
p627275788,p627344390
p627294789,p627343790
p627294789,p627344390
p627344390,p627412591
p627344390,p627412991
p958237987,p95029088
p627204487,p95029088
p547328787,p547469388
p603176486,p547469388
p95029088,p95084689
p547469388,p95084689
p95084689,p82350491
p95084689,p95147490
p95084689,p627412591
p95084689,p627412991
p95084689,p82350591
p630815088,p82251690
p82251690,p82350491
p82251690,p82350591
p251337389,p251463690
p251226287,p251463690
p251336689,p251428590
p230537588,p251428590
p251428590,p237016791
p251428590,p237017391
p630388990,p48131791
p630388990,p48131891
p630652887,p630192689
p82152788,p630192689
p251388889,p251494491
p630192689,p48131791
p630192689,p48131891
p630192689,p251494491
p251494491,p251564791
p251476190,p251564791
p807012287,p251372589
p251372589,p251506491
p251260288,p251372589
p251260288,p251340389
p230474587,p251340389
p251340389,p251476190
p251340389,p251476390
p251463690,p237011591
p251476390,p237016791
p251476390,p237017391
p251476390,p237011591
p237011591,p237082692
p237011591,p237082792
